Fecha,Casos
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,1
50,8
51,11
52,27
53,36
54,43
55,55
56,69
57,86
58,109
59,137
60,200
61,313
62,345
63,345
64,443
65,558
66,674
67,786
68,901
69,989
70,1181
71,1181
72,1317
73,1475
74,1673
75,1801
76,1988
77,2100
78,2249
79,2528
80,2752
81,2974
82,3234
83,3400
84,3472
85,3574
86,3751
87,4016
88,4210
89,4273
90,4467
91,4658
92,4821
93,5166
94,5338
95,5538
96,5779
97,6021
98,6021
99,6378
100,6532
101,6720
102,7090
103,7090
104,7197
105,7523
106,7731
107,7868
108,8070
109,8282
110,8448
111,8616
112,8783
113,8944
114,9118
115,9268
116,9449
117,9606
118,9726
119,9867
120,9977
121,10116
122,10267
123,10577
124,10926
125,11183
126,11447
127,11728
128,12131
129,12531
130,13018
131,13463
132,13837
133,14095
134,14609
135,15044
136,15463
137,16004
138,16425
139,16854
140,17233
141,17889
142,18586
143,19211
144,20059
145,21418
146,21422
147,21962
148,22597
149,23351
150,24274
151,25222
152,26030
153,26752
154,27314
155,28030
156,29037
157,29905
158,30658
159,31686
160,32785
161,33550
162,34463
163,35237
164,35995
165,36983
166,38149
167,39334
168,40291
169,41251
170,42216
171,43257
172,44332
173,45633
174,47173
175,48096
176,49243
177,50373
178,51408
179,52261
180,53468
181,54426
182,55153
183,55906
184,56817
185,57993
186,58864
187,60296
188,61442
189,62223
190,63269
191,64191
192,65256
193,66383
194,67453
195,68456
196,69424
197,70231
198,71418
